1730928581 - [INFO][LOGGER] Logger Initialized
1730928581 - [INFO][LOADER] Attempting to loading 2 APIs...
1730928581 - [INFO][APP] Loading UI
1730928581 - [INFO][LOADER] Loading NexusMods (1/2)
1730928581 - [INFO][APP] Creating Viewport
1730928581 - [INFO][LOADER] NexusMods API Required Auth/Login
1730928581 - [INFO][APP] Setting up dearpygui
1730928581 - [INFO][LOADER] Logged in to NexusMods
1730928581 - [INFO][LOADER] Loading ThunderStore (2/2)
1730928581 - [INFO][THUNDERSTORE] Loading Cache
1730928581 - [INFO][THUNDERSTORE] No cache found! Generating empty cache
1730928581 - [INFO][LOADER] Logged in to ThunderStore
1730928582 - [INFO][THUNDERSTORE] GET | Mod List | Took 1195ms
1730928582 - [INFO][THUNDERSTORE] Preparing Mod | AllTheFixes | d7cd0d8f-a953-46bc-82c3-c31b54b87bd3
1730928582 - [INFO][THUNDERSTORE] Preparing Mod | Sborka_ebat | d31f8ffd-9d31-419a-91ef-fca67c1961b4
1730928582 - [INFO][THUNDERSTORE] Preparing Mod | Timesweeper_is_a_slut | f7c6362a-e9a1-4da9-9174-0269ea94699f
1730928582 - [INFO][THUNDERSTORE] Preparing Mod | LoLItems | 12efa653-1bff-4635-9e68-5fd6dd9d6409
1730928582 - [INFO][THUNDERSTORE] Preparing Mod | REFURBISHED_ROBOMANDO | 8fc569a5-9118-4f29-9404-b85b348beb31
1730928582 - [INFO][THUNDERSTORE] Preparing Mod | V1_as_Robomando | 3aff6839-38cc-4657-bcee-692dd5bb0f93
1730928582 - [INFO][THUNDERSTORE] Preparing Mod | RobomandoMod | b8fcb126-9531-47f4-887c-467cb51a8340
1730928582 - [INFO][THUNDERSTORE] Preparing Mod | DroppableThings | 7a4bb479-42d1-4e88-98d3-27d9ac13b29e
1730928582 - [INFO][THUNDERSTORE] Preparing Mod | BloodthirstCirclet | 2e56b982-1397-41b5-a710-da1cd358ea96
1730928582 - [INFO][THUNDERSTORE] Preparing Mod | EnemiesReturns | d6ca670b-2b21-4bbd-b0c0-b1e436bab69f
1730928582 - [INFO][THUNDERSTORE] Preparing Mod | BetterHudLite | 3a63301f-a4db-428d-922a-7d38580ec58b
1730928582 - [INFO][THUNDERSTORE] Preparing Mod | BetterScoreboard | e1f3b714-6124-422d-8f7f-d3d372152bcf
1730928582 - [INFO][THUNDERSTORE] Preparing Mod | SomeGamersSoundtrackPicks | 5c45af20-6a71-4660-89be-98856f9b9249
1730928582 - [INFO][THUNDERSTORE] Preparing Mod | Kei_Truck | 061f22df-c0bc-4af5-a3be-336d32c0ac07
1730928582 - [INFO][THUNDERSTORE] Preparing Mod | IronmouseSurvivor | 8efcf1fd-bb22-4a37-b10e-0d4bcfce76d6
1730928582 - [INFO][THUNDERSTORE] Preparing Mod | VTSIntegration | d9e294a2-d888-4606-bb3a-b5877b658776
1730928582 - [INFO][THUNDERSTORE] Preparing Mod | PhreelsTinyContentPack | 15e9b330-f1ec-4c21-9b7b-aa606ad74ae9
1730928582 - [INFO][THUNDERSTORE] Preparing Mod | ZetAspects | 69adb671-48e7-4659-b8cf-ae0e8d14fcb0
1730928582 - [INFO][THUNDERSTORE] Preparing Mod | CommandQueueWithSaveSOTSFix | e1f79687-77d1-4999-a17d-45128b65fee6
1730928582 - [INFO][THUNDERSTORE] Preparing Mod | Biomass_Skin | 483b5b76-3044-45d3-9c0b-0d24bc037e28
1730928582 - [INFO][THUNDERSTORE] Preparing Mod | SorceressMod | 36c4b7bb-8930-4e3a-9d02-d955d17d1077
1730928582 - [INFO][THUNDERSTORE] Preparing Mod | ZetAspectHighlander | 3ba95b54-c0ab-416e-8338-773a2e4b92b0
1730928582 - [INFO][THUNDERSTORE] Preparing Mod | TILER2NoPoll | e49d1c52-cf84-471b-ab61-e21c177db999
1730928582 - [INFO][THUNDERSTORE] Preparing Mod | ScrollableLobbyUI | 96c4d148-3bba-4afc-8917-e1d9b77a0f44
1730928582 - [INFO][THUNDERSTORE] Preparing Mod | ExtraFireworks | 9da9c30a-d8fc-41c2-bd61-6423f598800a
1730928582 - [INFO][THUNDERSTORE] Preparing Mod | SivsContentPack | abd3aec1-5cfa-4e74-adb8-fda6f4245be8
1730928582 - [INFO][THUNDERSTORE] Preparing Mod | Potmobile | 67c0e615-7cb4-455a-9569-c6f2ef70b370
1730928582 - [INFO][THUNDERSTORE] Preparing Mod | 6_Chicks_Party_Pack | 14d5bcfe-e76e-4bc0-b6b3-a5c81cfbf0c9
1730928582 - [INFO][THUNDERSTORE] Preparing Mod | EclipseRefurbished | c3900412-18c5-4924-83f7-1d6098268802
1730928582 - [INFO][THUNDERSTORE] Preparing Mod | R2API_Colors | 081ffe5b-507d-42d6-989f-0a63199b1687
1730928582 - [INFO][THUNDERSTORE] Preparing Mod | HUDdleUP | 28dd7b09-e756-4142-929e-690885bc1933
1730928582 - [INFO][THUNDERSTORE] Preparing Mod | HealthComponentAPI | a08fafa7-7010-46c3-9005-511f850460f6
1730928582 - [INFO][THUNDERSTORE] Preparing Mod | Stage4Balance | 08e05c26-4e94-4a58-a2a8-fbc088673d82
1730928582 - [INFO][THUNDERSTORE] Preparing Mod | NoMithrixFallDamage | 85bf7a71-49f6-49e9-990d-a350e5a4e755
1730928582 - [INFO][THUNDERSTORE] Preparing Mod | LunarRework | 2ce7b2da-f0f5-4383-b35e-cbd7b119558c
1730928582 - [INFO][THUNDERSTORE] Preparing Mod | AerosSkills | 6a999703-a324-4d0f-8de5-6e408c0ef343
1730928582 - [INFO][THUNDERSTORE] Preparing Mod | RealerHex3Mod | 175b8eb4-9ca3-4ac0-afee-6d05dda81794
1730928582 - [INFO][THUNDERSTORE] Preparing Mod | RobItems | 93e7166e-cbfb-440b-8b36-cf996899a9ea
1730928582 - [INFO][THUNDERSTORE] Preparing Mod | Phreels_Modpack | 2562b57e-c3db-4863-bbfa-287752eb5ed4
1730928582 - [INFO][THUNDERSTORE] Preparing Mod | LoaderHealthNerf | b0b31e1f-534b-421b-886d-0df66ac8b052
1730928582 - [INFO][THUNDERSTORE] Preparing Mod | FreeCostFix | 104aef5c-c24e-4696-b4f3-4f2515702d38
1730928582 - [INFO][THUNDERSTORE] Preparing Mod | PerfectedFalseSon | db8986cb-0da9-446f-8764-9ca346a4cf23
1730928582 - [INFO][THUNDERSTORE] Preparing Mod | SkillsReturns | ff5cb976-0a61-40dd-9815-81647566f352
1730928582 - [INFO][THUNDERSTORE] Preparing Mod | DamageLog | 2ffdc873-4811-464d-8669-c0f24c08f53b
1730928582 - [INFO][THUNDERSTORE] Preparing Mod | Nearly_Vanilla_Mod_Pack | 3bf3ad00-5e4e-4f3f-bf26-9a6429b9e4a7
1730928582 - [INFO][THUNDERSTORE] Preparing Mod | SoySauceRevived | b0521393-4c14-4b71-ad95-71efc9267c23
1730928582 - [INFO][THUNDERSTORE] Preparing Mod | EnemyVariety | 56124009-88e2-427a-9616-736eb53deaf5
1730928582 - [INFO][THUNDERSTORE] Preparing Mod | Silliest_Pack | 72b93530-fefc-4bed-b6fa-54861cd06167
1730928582 - [INFO][THUNDERSTORE] Preparing Mod | EclipsedShoresBaseMod | 9aee5d36-e3d7-408a-96b4-8b5193c3d124
1730928582 - [INFO][THUNDERSTORE] Preparing Mod | ChaosTricks_RoR2_TwitchIntegration | 84214d48-0fda-4147-8b8e-d326f30cd8d9
1730928582 - [INFO][THUNDERSTORE] Preparing Mod | Tsunami_Items | 471adef6-38c9-4439-a912-d37604c843c6
1730928582 - [INFO][THUNDERSTORE] Preparing Mod | Soldiers_of_Kreig | b54c3f86-0831-4dfa-83bd-7b53e39bad90
1730928582 - [INFO][THUNDERSTORE] Preparing Mod | RigsArsenal | ff43966d-606d-4625-b0c2-5d3d2f953967
1730928582 - [INFO][THUNDERSTORE] Preparing Mod | Rifter | c44aae6c-d572-462f-9cd6-2353f2314393
1730928582 - [INFO][THUNDERSTORE] Preparing Mod | GammaSettingFix | 658af19d-47ce-499d-ab13-6011de5f88c7
1730928582 - [INFO][THUNDERSTORE] Preparing Mod | LaggiestMask | 0f95676f-ab89-499a-8f05-61294253bc9a
1730928582 - [INFO][THUNDERSTORE] Preparing Mod | AttackDirectionFix | a6eb10ec-f284-476e-af90-321fccb518a8
1730928582 - [INFO][THUNDERSTORE] Preparing Mod | R2API_Animations | 1501fb71-0b0b-4c81-b7f4-7525e3832f5a
1730928582 - [INFO][THUNDERSTORE] Preparing Mod | JinxMod | 24ab6d0a-7008-4a40-b473-f3d64cd3cb1a
1730928582 - [INFO][THUNDERSTORE] Preparing Mod | Cleaverang | f0eb921a-6af8-44d0-92db-738d7088cabe
1730928582 - [INFO][THUNDERSTORE] Preparing Mod | CharaMerc | 211d906e-3369-4c7c-b991-1925ff92d851
1730928582 - [INFO][THUNDERSTORE] Preparing Mod | BetterVoidBands | 248827f3-0cb4-49f5-a3ab-aac5e0ad3d8e
1730928582 - [INFO][THUNDERSTORE] Preparing Mod | HuntersHarpoonReworked | 131b7c71-f62e-4faf-bfe7-d54480b1b004
1730928582 - [INFO][THUNDERSTORE] Preparing Mod | SurvivorsReturn | c3edd4ce-7582-44b0-998d-157dd78f1580
1730928582 - [INFO][THUNDERSTORE] Preparing Mod | DwarfMushrum | 9dbe0380-74d4-4e84-80bb-0ccd18be0c69
1730928582 - [INFO][THUNDERSTORE] Preparing Mod | MoreSurvivors | fb1064dd-1e3f-4bcc-9bdc-e62c6c68aac6
1730928582 - [INFO][THUNDERSTORE] Preparing Mod | SuzuhaRailgunner | 3ad78fbb-390b-47d6-a9f4-cd8b5f85e7e6
1730928582 - [INFO][THUNDERSTORE] Preparing Mod | HordeTweaks | c4ac672f-9aa0-45f8-becc-f8ffe344d550
1730928582 - [INFO][THUNDERSTORE] Preparing Mod | Wolfestine | 1dcd01e8-84a4-4cfd-811d-6e7232f1a7fb
1730928582 - [INFO][THUNDERSTORE] Preparing Mod | Impermanence | 072bc646-64e7-4fe7-8f26-ee04100d87d9
1730928582 - [INFO][THUNDERSTORE] Preparing Mod | RiskyTweaks | 51727e8d-3cd9-445e-b2c8-d0a630fbb785
1730928582 - [INFO][THUNDERSTORE] Preparing Mod | SurvivorDLC | 3ea9394e-f3f8-46fd-9f93-4d24a03019f8
1730928582 - [INFO][THUNDERSTORE] Preparing Mod | RealerVoidFartReverb | a56b133d-2c3c-4118-8aca-134defde67e0
1730928582 - [INFO][THUNDERSTORE] Preparing Mod | items_from_itsschwer | 6899fd01-8be9-40f3-b73a-ee723c95dfb2
1730928582 - [INFO][THUNDERSTORE] Preparing Mod | PrintToInventory | 5ab42729-7fbe-4af3-8fe4-61a4d0cf34ed
1730928582 - [INFO][THUNDERSTORE] Preparing Mod | TooManyItems | 012abb35-337f-43b1-8d81-5ed24bc6ed04
1730928582 - [INFO][THUNDERSTORE] Preparing Mod | Bad_Xenoblade_ost_mod_music | 8d68efb8-2209-4b83-9c66-a242cee6bd62
1730928582 - [INFO][THUNDERSTORE] Preparing Mod | Dancer | 5ee9e69a-fd5c-43a0-9d12-53b651aa94aa
1730928582 - [INFO][THUNDERSTORE] Preparing Mod | Risk_of_characters | 2d9e004a-172b-44d6-9032-f1a8295e001a
1730928582 - [INFO][THUNDERSTORE] Preparing Mod | Videogame_Mod_2_Unofficial_RU | be783a1f-723a-4518-b6ed-e48973b30d74
1730928582 - [INFO][THUNDERSTORE] Preparing Mod | RoR2BepInExPack | aa28b11e-c17e-4f70-b286-1f393d6b8b39
1730928582 - [INFO][THUNDERSTORE] Preparing Mod | MiniMapMod | ca6f9bb7-376f-4d07-b183-1d39d1b1328e
1730928582 - [INFO][THUNDERSTORE] Preparing Mod | SonicTheHedgehog | 1ee36014-d3ec-472f-a342-640cce77d6f1
1730928582 - [INFO][THUNDERSTORE] Preparing Mod | LookingGlass | 68f7054b-9ef6-4a5c-9fff-ffb44d213618
1730928582 - [INFO][THUNDERSTORE] Preparing Mod | Fatify_Redux | cc0239b8-2f5d-49fd-acfe-3caeadd51a1c
1730928582 - [INFO][THUNDERSTORE] Preparing Mod | Fatify | d550f046-83ee-47df-953f-e6fc3910dc50
1730928582 - [INFO][THUNDERSTORE] Preparing Mod | UpsideDownMod | 276bd09b-79f7-4404-a351-05a5c5c11191
1730928582 - [INFO][THUNDERSTORE] Preparing Mod | UpsideDownMod | 088e07c0-3ec9-4c8a-b616-4976714584f2
